1	Massachusetts Institute of Technology
2	Carnegie Mellon University
3	Stanford University
4	University of California, Berkeley
5	University of Illinois at Urbana-Champaign
6	Cornell University
7	Georgia Institute of Technology
8	University of Washington
9	Princeton University
10	University of Texas at Austin
